发你麻痹的图片 死了马嘛,大家伙不要删别人评论，自己写自己的就好，有没有禁止删除权限！！！快加上，速度上g**hub同步 我还原回去了大家重新更新,,xdm建议各自下载保存一下各个版本，做好备份，以防删表，下载版本建议以日期时分秒来备份,xdm建议各自下载保存一下各个版本，做好备份，以防删表，下载版本建议以日期时分秒来备份,哪些公司在裁员啊，汇报一下,别jb还原了！！！！,已经是最高权限了，加个禁止删除的权限,,,,,,,,,,,,,,,,,,,
中国电信,"没啥技术，内部比赛啥的挖洞全靠外包。

没啥技术，内部比赛啥的挖洞全靠外包。","电信二级网络安全专家
",纯纯外包还以为自己很厉害,骑驴       在办公室骑吗？,,,,,,,,,,,,,,,,,,,,,,
知道创宇,安全行业中的翘楚！,说翘楚的纯属放屁,hr说在亏钱,,,,,,,,,,,,,,,,,,,,,,
华顺信安 (白帽汇),哪个傻逼在刷新表格，别刷了，哗众取宠的猴子,难崩,妹妹好看,收了个offer，细说内部怎么样，考虑考虑去不去,套路确实骚，其他人比产品或者技术，他们搞直播,,,,,,,,,,,,,,,,,,,,
迪普科技,"技术只配做销售的狗,无项目经理统一调度,销售直接指挥技术给技术安排活,不管你会不会都让你去.销售>售前>售后.办事处主任歧视技术.一个人当三个人用,强制加班,设备一坨大便,销售能把设备吹上天,打工人为难打工人,同事互相甩锅互相背刺",,原来每个地方挨揍的程度都不一样。,,,,,,,,,,,,,,,,,,,,,,
锐服信,"护网回款回了一年 还扣了百分之三十 谁去谁知道
",大老板管财务，有小股东管业务，人事黑xx，听说有年hw前把人从ct挖走又不给签合同，快开始了说给不到那个数。公司内部pua文化。公众号还曝光不结款，单方面降低款。,,,,,,,,,,,,,,,,,,,,,,,
北京昊网,有没有知道的，说说HW咋样？,,,,,,,,,,,,,,,,,,,,,,,,
成都咨安,割韭菜无敌、回款不准时，嚣张跋扈，9岁都割离谱,恶意扣款，垃圾玩意！！,这不是卖课的嘛 红队蓝军,大哥有悟性,,,,,,,,,,,,,,,,,,,,,
网御星云,牛逼,加班加成狗,有自己人来了。哥们几部的,,,,,,,,,,,,,,,,,,,,,,,
斗象科技,同样的项目和其他平台JG差距太大,垃圾公司，强制加班，没钱租地方全员搬家住甲醛超标写字楼,属实垃圾，强制转外包,,,,,,,,,,,,,,,,,,,,,,,
